Timestamp, Measurement (uW)
1759344653, 26.253uW
1759344654, 26.242uW
1759344656, 26.250uW
1759344657, 26.254uW
1759344659, 26.261uW
1759344660, 26.261uW
1759344662, 26.268uW
1759344663, 26.269uW
1759344665, 26.258uW
1759344667, 26.267uW
1759344668, 26.276uW
1759344670, 26.280uW
1759344671, 26.289uW
1759344673, 26.284uW
1759344674, 26.282uW
1759344675, 26.277uW
1759344676, 26.270uW
1759344678, 26.265uW
1759344679, 26.254uW
1759344680, 26.258uW
1759344681, 26.246uW
1759344682, 26.234uW
1759344684, 26.232uW
1759344685, 26.225uW
1759344686, 26.217uW
1759344687, 26.197uW
1759344688, 26.184uW
1759344690, 26.163uW
1759344691, 26.150uW
1759344692, 26.145uW
1759344693, 26.141uW
1759344694, 26.133uW
1759344696, 26.117uW
1759344698, 26.107uW
1759344699, 26.104uW
1759344700, 26.106uW
1759344701, 26.104uW
1759344703, 26.095uW
1759344704, 26.090uW
1759344705, 26.076uW
1759344707, 26.062uW
1759344709, 26.077uW
1759344710, 26.078uW
1759344712, 26.085uW
1759344713, 26.106uW
1759344714, 26.111uW
1759344715, 26.110uW
1759344717, 26.108uW
1759344718, 26.105uW
1759344719, 26.105uW
1759344720, 26.104uW
1759344721, 26.091uW
1759344722, 26.086uW
1759344724, 26.081uW
1759344725, 26.066uW
1759344726, 26.049uW
1759344727, 26.050uW
1759344729, 26.029uW
1759344730, 26.024uW
1759344731, 26.018uW
1759344732, 26.019uW
1759344734, 26.022uW
1759344735, 26.028uW
1759344736, 26.027uW
1759344737, 26.035uW
1759344738, 26.043uW
1759344740, 26.063uW
1759344741, 26.093uW
1759344743, 26.112uW
1759344744, 26.131uW
1759344746, 26.149uW
1759344747, 26.164uW
1759344749, 26.173uW
1759344750, 26.188uW
1759344751, 26.201uW
1759344753, 26.233uW
1759344754, 26.250uW
1759344756, 26.261uW
1759344757, 26.266uW
1759344759, 26.281uW
1759344760, 26.303uW
1759344762, 26.310uW
1759344764, 26.325uW
1759344765, 26.338uW
1759344767, 26.345uW
1759344768, 26.356uW
1759344770, 26.355uW
1759344772, 26.353uW
1759344773, 26.352uW
1759344775, 26.349uW
1759344776, 26.345uW
1759344777, 26.342uW
1759344778, 26.334uW
1759344779, 26.319uW
1759344781, 26.319uW
1759344782, 26.328uW
1759344783, 26.329uW
1759344785, 26.340uW
1759344787, 26.346uW
1759344788, 26.334uW
1759344789, 26.333uW
1759344791, 26.309uW
1759344793, 26.295uW
1759344794, 26.279uW
1759344796, 26.258uW
1759344798, 26.259uW
1759344799, 26.266uW
1759344801, 26.264uW
1759344802, 26.269uW
1759344804, 26.285uW
1759344806, 26.294uW
1759344807, 26.306uW
1759344809, 26.318uW
1759344811, 26.324uW
1759344812, 26.335uW
1759344814, 26.353uW
1759344815, 26.349uW
1759344817, 26.343uW
1759344819, 26.327uW
1759344820, 26.321uW
1759344822, 26.332uW
1759344824, 26.349uW
1759344825, 26.364uW
1759344827, 26.367uW
1759344829, 26.392uW
1759344830, 26.397uW
1759344832, 26.407uW
1759344833, 26.414uW
1759344834, 26.427uW
1759344835, 26.436uW
1759344837, 26.442uW
1759344838, 26.438uW
1759344840, 26.437uW
1759344841, 26.438uW
